path,phase,iteration,http_status,reason_code,confidence,expected_outcome,pipeline_ms,client_ms,ingestion_ms,eo_gates_ms,routing_ms,inference_ms,verification_ms,step_count,trace_id,trace_created_at
fusion,warmup,1,200,,0.875,True,5132.003,6138.832,1734.197,7.148,0.198,1160.631,0.14,17,892fb94b-96dd-4ed3-81a3-71666909a7c2,2026-09-23T17:27:34.362761Z
fusion,warmup,2,200,,0.875,True,1836.224,2682.487,46.667,0.157,0.145,909.537,0.238,17,84ce25d6-a71a-4d26-8032-5059e4ace332,2026-09-23T17:27:40.493612Z
fusion,warmup,3,200,,0.875,True,2058.915,2916.991,107.717,0.122,0.066,1264.714,0.404,17,9eb646f6-d63f-49c6-9754-6ffa44b04084,2026-09-23T17:27:43.221347Z
fusion,measured,1,200,,0.875,True,1768.403,2682.811,31.657,0.13,0.087,1106.862,0.235,17,552e85a3-23e5-4f7c-8365-822b3bf5ed85,2026-09-23T17:27:46.173650Z
fusion,measured,2,200,,0.875,True,1433.163,2245.192,51.558,0.666,0.075,799.702,0.115,17,bd87bcbc-d0bd-4331-b17e-5bc344d790f0,2026-09-23T17:27:48.916860Z
fusion,measured,3,200,,0.875,True,1472.457,3217.754,41.382,0.146,0.088,734.16,0.216,17,be5a1c75-94e6-4249-8b66-0348379dd089,2026-09-23T17:27:51.207205Z
fusion,measured,4,200,,0.875,True,1500.943,2096.52,32.477,0.187,0.058,802.498,0.229,17,007d22e9-6c2a-4b26-85e3-0f6b77811e52,2026-09-23T17:27:54.463091Z
fusion,measured,5,200,,0.875,True,1444.236,2029.057,33.911,0.121,0.054,767.888,0.096,17,a3decc93-e975-450b-af04-91b0a07cc8ac,2026-09-23T17:27:56.589637Z
fusion,measured,6,200,,0.875,True,1560.569,2198.191,26.579,0.129,0.076,951.702,0.143,17,4bd6a9ce-1a42-4c4e-9f10-e06ea70f0520,2026-09-23T17:27:58.649828Z
fusion,measured,7,200,,0.875,True,1293.3,1922.683,28.226,0.128,0.065,716.096,0.091,17,15ccc711-0995-40c2-8435-7fc9a65d142d,2026-09-23T17:28:00.889891Z
fusion,measured,8,200,,0.875,True,1297.571,1915.188,26.523,0.127,0.068,704.815,0.091,17,e10d78c8-55f0-446b-bec0-ec5cf18f3c3a,2026-09-23T17:28:02.835513Z
fusion,measured,9,200,,0.875,True,1127.692,1739.967,22.988,0.117,0.057,609.692,0.109,17,85ed82b4-4f4c-4c7d-8bdb-05aafbba32b7,2026-09-23T17:28:04.779412Z
fusion,measured,10,200,,0.875,True,1299.867,1887.145,39.546,0.107,0.066,641.82,0.146,17,fa83fad7-b998-4eb0-8fec-4b7719f77852,2026-09-23T17:28:06.548960Z
fusion,measured,11,200,,0.875,True,1110.183,1692.185,22.071,0.157,0.055,581.596,0.165,17,c8cea107-12dc-45f2-be50-bbbcc2f0c604,2026-09-23T17:28:08.464285Z
fusion,measured,12,200,,0.875,True,1063.244,1611.501,21.261,0.113,0.06,578.958,0.094,17,3ca54058-bc99-4509-b44c-9e7b7da237f5,2026-09-23T17:28:10.184522Z
fusion,measured,13,200,,0.875,True,1264.642,1849.933,22.286,0.14,0.081,700.337,0.101,17,6c198263-bb2c-4756-bb5b-8c1a8a1c1844,2026-09-23T17:28:11.824797Z
fusion,measured,14,200,,0.875,True,1236.273,1781.604,27.492,0.139,0.062,673.798,0.114,17,d368a22b-720c-441c-9c52-9eb954ffba98,2026-09-23T17:28:13.708932Z
